Designator,Mid X,Mid Y,Rotation,Layer
C1,130.61,-51.58,270.0,bottom
C10,147.217641,-65.84725,90.0,bottom
C11,141.76,-75.57,270.0,bottom
C12,143.435891,-67.641018,90.0,bottom
C13,151.8,-70.06,90.0,bottom
C14,146.328641,-81.46825,270.0,bottom
C15,152.31,-74.88,180.0,bottom
C16,140.740641,-68.89525,0.0,bottom
C17,140.740641,-70.41925,0.0,bottom
C2,120.93,-52.21,90.0,bottom
C3,154.72,-62.4,90.0,bottom
C4,144.451891,-67.641018,90.0,bottom
C5,148.741641,-65.84725,90.0,bottom
C6,145.89,-79.24,0.0,bottom
C7,152.932641,-84.539268,270.0,bottom
C8,146.229891,-84.285268,90.0,bottom
C9,129.41,-51.58,90.0,bottom
D1,19.421875,-25.771874,90.0,bottom
D10,190.871875,-25.771874,90.0,bottom
D11,209.921875,-25.771874,90.0,bottom
D12,228.971875,-25.771874,90.0,bottom
D13,248.021875,-25.771874,90.0,bottom
D14,21.803125,-44.821874,90.0,bottom
D15,43.234375,-44.821874,90.0,bottom
D16,62.284375,-44.821874,90.0,bottom
D17,81.334375,-44.821874,90.0,bottom
D18,100.384375,-44.821874,90.0,bottom
D19,119.434375,-44.821874,90.0,bottom
D2,38.471875,-25.771874,90.0,bottom
D20,138.484375,-44.821874,90.0,bottom
D21,157.534375,-44.821874,90.0,bottom
D22,176.584375,-44.821874,90.0,bottom
D23,195.634375,-44.821874,90.0,bottom
D24,214.684375,-44.821874,90.0,bottom
D25,240.878125,-44.821874,90.0,bottom
D26,26.565625,-63.871874,90.0,bottom
D27,52.759375,-63.871874,90.0,bottom
D28,71.809375,-63.871874,90.0,bottom
D29,90.859375,-63.871874,90.0,bottom
D3,57.521875,-25.771874,90.0,bottom
D30,109.909375,-63.871874,90.0,bottom
D31,128.959375,-63.871874,90.0,bottom
D32,147.38,-51.44,270.0,bottom
D33,166.43,-51.43,270.0,bottom
D34,186.109375,-63.871874,90.0,bottom
D35,205.159375,-63.871874,90.0,bottom
D36,224.209375,-63.871874,90.0,bottom
D37,245.640625,-63.871874,90.0,bottom
D38,43.234375,-82.921874,90.0,bottom
D39,62.284375,-82.921874,90.0,bottom
D4,76.571875,-25.771874,90.0,bottom
D40,93.240625,-82.921874,90.0,bottom
D41,121.62,-82.921874,90.0,bottom
D42,164.678125,-82.921874,90.0,bottom
D43,202.778125,-82.921874,90.0,bottom
D44,224.209375,-82.921874,90.0,bottom
D5,95.621875,-25.771874,90.0,bottom
D6,114.671875,-25.771874,90.0,bottom
D7,133.721875,-25.771874,90.0,bottom
D8,152.771875,-25.771874,90.0,bottom
D9,171.821875,-25.771874,90.0,bottom
F1,83.73,-27.49,0.0,bottom
J3,89.296875,-29.765625,270.0,bottom
MX1,22.621875,-22.621875,0.0,bottom
MX10,194.071875,-22.621875,0.0,bottom
MX11,213.121875,-22.621875,0.0,bottom
MX12,232.171875,-22.621875,0.0,bottom
MX13,251.221875,-22.621875,0.0,bottom
MX14,25.003125,-41.671875,0.0,bottom
MX15,46.434375,-41.671875,0.0,bottom
MX16,65.484375,-41.671875,0.0,bottom
MX17,84.534375,-41.671875,0.0,bottom
MX18,103.584375,-41.671875,0.0,bottom
MX19,122.634375,-41.671875,0.0,bottom
MX2,41.671875,-22.621875,0.0,bottom
MX20,141.684375,-41.671875,0.0,bottom
MX21,160.734375,-41.671875,0.0,bottom
MX22,179.784375,-41.671875,0.0,bottom
MX23,198.834375,-41.671875,0.0,bottom
MX24,217.884375,-41.671875,0.0,bottom
MX25,244.078125,-41.671875,0.0,bottom
MX26,29.765625,-60.721875,0.0,bottom
MX27,55.959375,-60.721875,0.0,bottom
MX28,75.009375,-60.721875,0.0,bottom
MX29,94.059375,-60.721875,0.0,bottom
MX3,60.721875,-22.621875,0.0,bottom
MX30,113.109375,-60.721875,0.0,bottom
MX31,132.159375,-60.721875,0.0,bottom
MX32,151.209375,-60.721875,0.0,bottom
MX33,170.259375,-60.721875,0.0,bottom
MX34,189.309375,-60.721875,0.0,bottom
MX35,208.359375,-60.721875,0.0,bottom
MX36,227.409375,-60.721875,0.0,bottom
MX37,248.840625,-60.721875,0.0,bottom
MX38,46.434375,-79.771875,0.0,bottom
MX39,65.484375,-79.771875,0.0,bottom
MX4,79.771875,-22.621875,0.0,bottom
MX40,96.440625,-79.771875,0.0,bottom
MX41,134.540625,-79.771875,180.0,bottom
MX42,129.778125,-79.771875,0.0,bottom
MX43,167.878125,-79.771875,0.0,bottom
MX44,205.978125,-79.771875,0.0,bottom
MX45,227.409375,-79.771875,0.0,bottom
MX5,98.821875,-22.621875,0.0,bottom
MX6,117.871875,-22.621875,0.0,bottom
MX7,136.921875,-22.621875,0.0,bottom
MX8,155.971875,-22.621875,0.0,bottom
MX9,175.021875,-22.621875,0.0,bottom
R10,165.82,-62.42,0.0,bottom
R11,148.360641,-81.46825,90.0,bottom
R7,143.73,-78.83,180.0,bottom
R8,143.15,-62.165,180.0,bottom
R9,143.15,-63.695,180.0,bottom
SW1,171.18,-65.74,180.0,bottom
U1,123.31,-51.73,180.0,bottom
U2,73.27,-29.765625,180.0,bottom
U3,147.217641,-73.88,0.0,bottom
U4,160.17,-64.79,270.0,bottom
Y1,149.503641,-84.2695,180.0,bottom
